	sequences per sample	iteration	LC01_F	LC02_F	LC03_F	LC05_F	LC06_F	LC07_F	LC08_F	LC10_F	LC11_F	LC12_F	LC13_F	LP02_F	LP03_F	LP04_F	LP05_F	LP06_F	LP08_F_REDO	LP09_F	LP11_F	LP12_F	LP13_F_REDO	LP14_F	LP16_F	LP17_F	LP18_F	LP19_F	LP20_F	s10832	s10852	s11287	s11367	s12389	s1624	s20844	s21911	s21944	s22683	s22756	s22787	s24010	s25149	s26891	s26917	s27111	s27321_9596	s27403	s27555	s27796	s28408	s28504	s28535	s28791	s29396	s29404	s29523	s29527	s29556	s29586	s29745	s29753	s29763	s29777	s29780_9504	s29848	s29934	s30012	s30239	s30731	s30879	s31091	s31166	s31202	s31219	s31369	s31407	s31475	s31659	s31686	s31716	s31761	s31904	s31943	s32025	s32109	s32186	s32573	s32679	s32994	s33276	s33833	sAI_5316	sAI_9042	sAI_9328
alpha_rarefaction_10_0.txt	10	0	6.0	5.0	6.0	8.0	8.0	7.0	6.0	8.0	4.0	8.0	8.0	5.0	7.0	10.0	6.0	10.0	8.0	2.0	8.0	4.0	4.0	6.0	5.0	10.0	3.0	8.0	6.0	4.0	10.0	3.0	2.0	2.0	7.0	6.0	3.0	3.0	8.0	6.0	6.0	6.0	5.0	6.0	6.0	6.0	6.0	7.0	8.0	8.0	4.0	2.0	8.0	4.0	10.0	7.0	5.0	5.0	3.0	7.0	5.0	0.0	3.0	7.0	4.0	2.0	4.0	2.0	4.0	5.0	2.0	5.0	10.0	5.0	5.0	7.0	4.0	3.0	8.0	4.0	5.0	4.0	7.0	8.0	4.0	3.0	6.0	8.0	5.0	4.0	10.0	10.0	0.0	7.0	3.0
alpha_rarefaction_10_1.txt	10	1	8.0	5.0	8.0	8.0	6.0	4.0	6.0	7.0	8.0	10.0	10.0	4.0	8.0	5.0	7.0	6.0	6.0	4.0	7.0	5.0	3.0	8.0	6.0	8.0	6.0	3.0	7.0	2.0	4.0	4.0	4.0	3.0	7.0	10.0	1.0	6.0	5.0	7.0	3.0	3.0	8.0	7.0	3.0	5.0	6.0	4.0	8.0	4.0	8.0	3.0	6.0	5.0	6.0	7.0	10.0	5.0	2.0	6.0	6.0	4.0	3.0	3.0	5.0	10.0	6.0	4.0	8.0	10.0	5.0	6.0	0.0	4.0	6.0	3.0	2.0	4.0	5.0	3.0	3.0	4.0	8.0	4.0	10.0	2.0	10.0	8.0	5.0	4.0	8.0	8.0	5.0	3.0	5.0
alpha_rarefaction_10_2.txt	10	2	5.0	7.0	8.0	8.0	8.0	6.0	5.0	5.0	6.0	6.0	6.0	3.0	7.0	10.0	4.0	4.0	6.0	5.0	7.0	2.0	2.0	4.0	8.0	7.0	4.0	4.0	8.0	5.0	4.0	3.0	4.0	5.0	4.0	7.0	3.0	6.0	8.0	5.0	8.0	6.0	3.0	3.0	4.0	5.0	3.0	7.0	8.0	8.0	2.0	0.0	4.0	4.0	8.0	3.0	10.0	6.0	5.0	6.0	6.0	3.0	3.0	6.0	6.0	6.0	3.0	3.0	6.0	7.0	5.0	8.0	6.0	6.0	7.0	5.0	2.0	5.0	4.0	5.0	5.0	7.0	8.0	5.0	10.0	4.0	5.0	6.0	4.0	2.0	10.0	10.0	3.0	3.0	6.0
alpha_rarefaction_10_3.txt	10	3	6.0	7.0	5.0	5.0	4.0	7.0	6.0	6.0	6.0	10.0	5.0	6.0	7.0	4.0	6.0	3.0	6.0	8.0	6.0	8.0	3.0	6.0	8.0	6.0	8.0	4.0	6.0	3.0	5.0	3.0	6.0	5.0	5.0	4.0	5.0	2.0	3.0	2.0	3.0	6.0	7.0	6.0	5.0	6.0	6.0	7.0	6.0	4.0	6.0	1.0	5.0	7.0	4.0	3.0	8.0	4.0	4.0	8.0	6.0	2.0	3.0	4.0	4.0	5.0	8.0	5.0	8.0	4.0	3.0	5.0	7.0	3.0	5.0	7.0	4.0	2.0	4.0	2.0	3.0	6.0	10.0	10.0	10.0	6.0	8.0	5.0	1.0	6.0	8.0	10.0	2.0	6.0	2.0
alpha_rarefaction_10_4.txt	10	4	5.0	7.0	10.0	6.0	6.0	7.0	4.0	7.0	4.0	10.0	8.0	6.0	6.0	6.0	6.0	8.0	5.0	6.0	8.0	1.0	3.0	8.0	8.0	6.0	6.0	6.0	5.0	2.0	5.0	7.0	3.0	5.0	6.0	10.0	3.0	6.0	6.0	4.0	8.0	4.0	4.0	6.0	4.0	8.0	5.0	5.0	8.0	5.0	6.0	0.0	4.0	6.0	8.0	7.0	10.0	5.0	2.0	8.0	6.0	3.0	5.0	6.0	2.0	6.0	4.0	4.0	8.0	8.0	4.0	2.0	8.0	6.0	8.0	6.0	2.0	3.0	4.0	6.0	5.0	7.0	6.0	5.0	6.0	3.0	6.0	5.0	2.0	10.0	6.0	8.0	3.0	1.0	2.0
alpha_rarefaction_10_5.txt	10	5	6.0	10.0	8.0	10.0	10.0	8.0	3.0	8.0	8.0	10.0	10.0	8.0	6.0	3.0	5.0	6.0	5.0	6.0	5.0	6.0	2.0	8.0	6.0	8.0	5.0	2.0	4.0	2.0	7.0	2.0	6.0	3.0	5.0	4.0	2.0	2.0	7.0	10.0	6.0	6.0	3.0	5.0	8.0	7.0	8.0	4.0	10.0	4.0	5.0	2.0	8.0	6.0	8.0	6.0	10.0	5.0	6.0	6.0	6.0	1.0	3.0	4.0	5.0	7.0	7.0	3.0	7.0	7.0	6.0	3.0	4.0	4.0	10.0	3.0	2.0	1.0	4.0	3.0	6.0	5.0	10.0	7.0	10.0	3.0	6.0	7.0	3.0	3.0	8.0	5.0	3.0	3.0	6.0
alpha_rarefaction_10_6.txt	10	6	6.0	5.0	5.0	10.0	6.0	3.0	6.0	8.0	6.0	10.0	10.0	4.0	5.0	8.0	5.0	6.0	5.0	6.0	6.0	6.0	2.0	10.0	10.0	7.0	4.0	7.0	5.0	2.0	4.0	6.0	3.0	4.0	4.0	6.0	2.0	8.0	6.0	7.0	4.0	5.0	4.0	6.0	4.0	4.0	5.0	1.0	6.0	3.0	6.0	0.0	6.0	6.0	10.0	2.0	5.0	3.0	4.0	3.0	6.0	4.0	3.0	6.0	5.0	4.0	6.0	6.0	8.0	10.0	4.0	4.0	5.0	6.0	5.0	8.0	0.0	4.0	2.0	4.0	4.0	4.0	4.0	8.0	10.0	3.0	6.0	4.0	4.0	5.0	8.0	8.0	4.0	6.0	6.0
alpha_rarefaction_10_7.txt	10	7	6.0	8.0	8.0	8.0	3.0	7.0	7.0	4.0	8.0	8.0	8.0	5.0	8.0	6.0	4.0	8.0	5.0	6.0	8.0	5.0	3.0	8.0	4.0	6.0	5.0	2.0	4.0	3.0	6.0	4.0	3.0	3.0	4.0	4.0	3.0	4.0	10.0	8.0	4.0	8.0	2.0	8.0	4.0	8.0	6.0	4.0	10.0	6.0	5.0	1.0	6.0	4.0	5.0	3.0	7.0	5.0	2.0	6.0	5.0	4.0	5.0	6.0	5.0	4.0	5.0	4.0	6.0	4.0	5.0	6.0	8.0	5.0	6.0	6.0	3.0	4.0	2.0	2.0	3.0	5.0	8.0	8.0	10.0	3.0	10.0	6.0	0.0	4.0	6.0	8.0	3.0	3.0	7.0
alpha_rarefaction_10_8.txt	10	8	5.0	7.0	8.0	6.0	8.0	5.0	5.0	4.0	8.0	6.0	10.0	6.0	4.0	4.0	6.0	6.0	6.0	6.0	6.0	8.0	4.0	10.0	6.0	6.0	5.0	8.0	7.0	1.0	3.0	3.0	5.0	4.0	7.0	6.0	3.0	3.0	8.0	4.0	6.0	2.0	0.0	8.0	3.0	6.0	3.0	7.0	6.0	8.0	4.0	1.0	4.0	4.0	4.0	4.0	8.0	2.0	2.0	6.0	3.0	2.0	2.0	5.0	8.0	4.0	2.0	4.0	8.0	8.0	6.0	7.0	4.0	6.0	8.0	3.0	3.0	3.0	5.0	3.0	4.0	6.0	8.0	8.0	10.0	1.0	6.0	5.0	3.0	8.0	8.0	10.0	2.0	4.0	4.0
alpha_rarefaction_10_9.txt	10	9	6.0	10.0	3.0	5.0	8.0	8.0	6.0	8.0	10.0	8.0	8.0	4.0	6.0	10.0	5.0	5.0	3.0	3.0	8.0	2.0	8.0	6.0	6.0	7.0	5.0	2.0	8.0	4.0	4.0	4.0	3.0	4.0	3.0	5.0	4.0	2.0	10.0	8.0	8.0	6.0	6.0	7.0	4.0	7.0	8.0	5.0	10.0	5.0	6.0	3.0	6.0	2.0	6.0	3.0	10.0	6.0	2.0	4.0	4.0	3.0	6.0	3.0	5.0	6.0	5.0	1.0	8.0	10.0	3.0	4.0	6.0	6.0	8.0	5.0	1.0	0.0	4.0	5.0	3.0	5.0	5.0	5.0	10.0	2.0	10.0	6.0	6.0	6.0	10.0	10.0	5.0	2.0	6.0
